Date,Invoice No,Distributor,Description,Account Code,Amount
01/02/2014,0,39,,12010,79.000
01/02/2014,0,39,Room Charge from : 910114,40100,-79.000
01/04/2014,0,39,,12010,74.000
01/04/2014,0,39,Room Charge from : 4230114,40200,-74.000
01/06/2014,0,39,,12010,74.000
01/06/2014,0,39,Room Charge from : 1550114,40200,-74.000
01/07/2014,0,39,,12010,49.000
01/07/2014,0,39,Room Charge from : 8090114,40100,-49.000
01/11/2014,0,39,,12010,38.000
01/11/2014,0,39,Room Charge from : 20790114,40100,-38.000
01/12/2014,0,39,,12010,236.000
01/12/2014,0,39,Room Charge from : 20530114,40200,-74.000
01/12/2014,0,39,Room Charge from : 20550114,40200,-68.000
01/12/2014,0,39,Room Charge from : 20570114,40200,-49.000
01/12/2014,0,39,Room Charge from : 22220114,40200,-45.000
01/14/2014,0,39,,12010,123.000
01/14/2014,0,39,Room Charge from : 22530114,40100,-49.000
01/14/2014,0,39,Room Charge from : 25860114,40200,-74.000
01/15/2014,0,39,,12010,38.000
01/15/2014,0,39,Room Charge from : 22570114,40100,-38.000
01/16/2014,0,39,,12010,49.000
01/16/2014,0,39,Room Charge from : 27600114,40200,-49.000
01/17/2014,0,39,,12010,295.000
01/17/2014,0,39,Room Charge from : 24730114,40100,-49.000
01/17/2014,0,39,Room Charge from : 24750114,40100,-49.000
01/17/2014,0,39,Room Charge from : 24770114,40100,-49.000
01/17/2014,0,39,Room Charge from : 27220114,40200,-74.000
01/17/2014,0,39,Room Charge from : 33710114,40200,-74.000
01/20/2014,0,39,,12010,49.000
01/20/2014,0,39,Room Charge from : 35270114,40200,-49.000
01/22/2014,0,39,,12010,86.000
01/22/2014,0,39,Room Charge from : 35940114,40200,-86.000
01/25/2014,0,39,,12010,171.000
01/25/2014,0,39,Room Charge from : 38780114,40200,-97.000
01/25/2014,0,39,Room Charge from : 38910114,40200,-74.000
01/26/2014,0,39,,12010,49.000
01/26/2014,0,39,Room Charge from : 39440114,40100,-49.000
01/30/2014,0,39,,12010,49.000
01/30/2014,0,39,Room Charge from : 48790114,40100,-49.000
01/01/2014,13234,22,,12010,50.000
01/01/2014,13234,22,Room Charge from : 15530113,40200,-50.000
01/02/2014,13234,22,,12010,50.000
01/02/2014,13234,22,Room Charge from : 15530113,40200,-50.000
01/03/2014,13234,22,,12010,50.000
01/03/2014,13234,22,Room Charge from : 15530113,40200,-50.000
01/04/2014,13234,22,,12010,50.000
01/04/2014,13234,22,Room Charge from : 15530113,40200,-50.000
01/05/2014,13234,22,,12010,50.000
01/05/2014,13234,22,Room Charge from : 15530113,40200,-50.000
01/06/2014,13234,22,,12010,50.000
01/06/2014,13234,22,Room Charge from : 15530113,40200,-50.000
01/07/2014,13234,22,,12010,50.000
01/07/2014,13234,22,Room Charge from : 15530113,40200,-50.000
01/08/2014,13234,22,,12010,50.000
01/08/2014,13234,22,Room Charge from : 15530113,40200,-50.000
01/09/2014,13234,22,,12010,-400.000
01/09/2014,13234,22,,23100,-50.000
01/09/2014,13234,22,Cash,11100,500.000
01/09/2014,13234,22,Room Charge from : 15530113,40200,-50.000
01/10/2014,13234,22,,23100,50.000
01/10/2014,13234,22,Room Charge from : 15530113,40200,-50.000
01/01/2014,13946,18,,12010,72.000
01/01/2014,13946,18,Room Charge from : 41480513,40200,-72.000
01/02/2014,13946,18,,12010,72.000
01/02/2014,13946,18,Room Charge from : 41480513,40200,-72.000
01/03/2014,13946,18,,12010,-651.000
01/03/2014,13946,18,Deposit Transfer(Transfer to folio: 41500513 and Invoice No :13947),2001,-72.000
01/03/2014,13946,18,Laundry- Shirt 1.(Transfer to folio: 41500513 and Invoice No :13947),45200,1.500
01/03/2014,13946,18,Laundry(Transfer to folio: 41500513 and Invoice No :13947),45200,1.500
01/03/2014,13946,18,Room Charge(Transfer to folio: 41500513 and Invoice No :13947),40200,72.000
01/03/2014,13946,18,Room Charge(Transfer to folio: 41500513 and Invoice No :13947),40200,72.000
01/03/2014,13946,18,Room Charge(Transfer to folio: 41500513 and Invoice No :13947),40200,72.000
01/03/2014,13946,18,Room Charge(Transfer to folio: 41500513 and Invoice No :13947),40200,72.000
01/03/2014,13946,18,Room Charge(Transfer to folio: 41500513 and Invoice No :13947),40200,72.000
01/03/2014,13946,18,Room Charge(Transfer to folio: 41500513 and Invoice No :13947),40200,72.000
01/03/2014,13946,18,Room Charge(Transfer to folio: 41500513 and Invoice No :13947),40200,72.000
